ID,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,OfficialReport,Surprise,Joking
1.24515E+18,NO JOKE I WILL HOP ON A PLANE RN! (Well after COVID19 lol),1,0,0,0,0,0,0,0,0,0,1
1.24785E+18,BanMediaHouse whose is responsible for spreading Fake and communal Stories in this pandemic Corona situation.,0,0,0,0,0,0,1,0,0,0,0
1.24518E+18,Im waiting for someone to say to me that all this corona thing is just an April fools joke,0,0,0,1,1,0,0,0,0,0,0
1.24515E+18,He is a liar. Proven day night. Time again. Lies when the truth will do. COVID19,0,0,0,0,0,0,1,0,0,0,0
1.24519E+18,"NEW: U.S. CoronaVirus death toll reaches 4,000 after nearly 900 new deaths were reported today (BNO News) Covid19 CoronaVirusOutbreak",0,0,0,0,0,0,0,0,1,0,0
1.24524E+18,"Coronavirus impact Govt extends I-T deadlines related to Sections 80C, 80D",0,0,0,0,0,1,0,0,1,0,0
1.24515E+18,"42,000 people might have died in China from Covid19 but China was underreporting according to sources.",0,0,0,0,0,0,1,1,1,0,0
1.24525E+18,"Dear Chinese! Kindly cook your bat thoroughly next time. Regards, COVID19 CoronaVirusUpdates CoronaVirus",0,0,0,0,0,1,0,0,0,0,1
1.24785E+18,This is how the govt of kenya is checking the temperatures of COVID19 and saying it is still low. Mtashangaa sana.,0,0,0,1,0,0,1,0,0,1,0
1.24525E+18,"My mental health hasn't suffered at all under the coronavirus quarantine! Ha-ha, April Fools.",0,0,0,0,0,0,0,0,0,0,1
1.24515E+18,i cannot die before watching a concert live corona virus pls try to understand,0,0,0,0,0,1,0,0,0,0,1
1.24523E+18,"you are a complete wanker, and I hope you die from coronavirus. You're a fucking dickhead.",0,0,0,0,0,0,1,0,0,0,0
1.24786E+18,Has anyone elses FB ads been killing it since this coronavirus hit?,1,0,0,0,0,1,0,0,0,0,1
1.24517E+18,"Just heard that my Oncle in France has the Covid19 and is now in a coma in critical condition. Guys please this aint no joke, be safe",0,0,0,0,1,1,0,0,0,0,0
